command ;description ;BE ;EE ;JE ;JE_OP_level ;BE_EE_OP_level ;MP_only ;;;;

/? ;An alias of /help. Provides help for commands. ;Yes ;Yes ;Yes ;0 ;0 ;— ;— ;— ;— ;—
/ability ;Grants or revokes a player ability. ;Yes ;Yes ;— ;— ;1 ;— ;— ;— ;;—
/advancement ;Gives, removes, or checks player advancements. ;— ;— ;Yes ;2 ;— ;— ;— ;— ;;—
/alwaysday ;An alias of /daylock. Locks and unlocks the day-night cycle. ;Yes ;Yes ;— ;— ;1 ;— ;— ;— ;— ;
/attribute ;Queries, adds, removes or sets an entity attribute. ;— ;— ;Yes ;2 ;— ;— ;— ;;;—
/ban ;Adds player to banlist. ;— ;— ;Yes ;3 ;— ;MP ;— ;— ;;—
/ban-ip ;Adds IP address to banlist. ;— ;— ;Yes ;3 ;— ;MP ;— ;— ;;—
/banlist ;Displays banlist. ;— ;— ;Yes ;3 ;— ;MP ;— ;— ;;—
/bossbar ;Creates and modifies bossbars. ;— ;— ;Yes ;2 ;— ;— ;— ;— ;;
/camerashake ;Used to enable a camera shaking effect. ;Yes ;— ;— ;— ;1 ;— ;— ;— ;;—
/changesetting ;Changes a setting on the dedicated server while it's running. ;Yes ;— ;— ;— ;4 ;MP ;— ;— ;— ;—
/clear ;Clears items from player inventory. ;Yes ;Yes ;Yes ;2 ;1 ;— ;— ;— ;;—
/clearspawnpoint ;Remove spawnpoints in the world. ;Yes ;— ;— ;— ;1 ;— ;— ;— ;— ;
/clone ;Copies blocks from one place to another. ;Yes ;Yes ;Yes ;2 ;1 ;— ;;— ;— ;—
/connect ;An alias of /wsserver. Attempts to connect to the websocket server. ;Yes ;Yes ;— ;— ;0‌[EE only]
/data ;Gets, merges, modifies and removes block entity and entity NBT data. ;— ;— ;Yes ;2 ;— ;— ;;;;—
/datapack ;Controls loaded data packs. ;— ;— ;Yes ;2 ;— ;— ;— ;— ;— ;
/daylock ;An alias of /alwaysday. Locks and unlocks the day-night cycle. ;Yes ;Yes ;— ;— ;1 ;— ;— ;— ;— ;
/debug ;Starts or stops a debugging session. ;— ;— ;Yes ;3 ;— ;— ;— ;— ;— ;—
/dedicatedwsserver ;Attempts to connect to the websocket server. ;Yes ;— ;— ;— ;0 ;MP ;— ;— ;— ;—
/defaultgamemode ;Sets the default game mode. ;— ;— ;Yes ;2 ;— ;— ;— ;— ;— ;
/deop ;Revokes operator status from a player. ;Yes ;Yes ;Yes ;3 ;2 ;MP‌[Java Edition only] ;— ;— ;;—
/dialogue ;Opens NPC dialogue for a player. ;Yes ;Yes ;— ;— ;1 ;— ;— ;— ;;—
